Designator,Mid X,Mid Y,Rotation,Layer
DIODE<_17,60.4846,-100.1044,270.0,bottom
DIODE<_16,44.1524,-62.233,270.0,bottom
DIODE<_15,25.0099,-43.09695,270.0,bottom
DIODE<_14,63.2024,-62.233,270.0,bottom
DIODE<_13,120.4722,-62.23,270.0,bottom
DIODE<_12,139.573,-43.183,270.0,bottom
DIODE<_11,6.0524,-62.233,270.0,bottom
DIODE<_10,25.1024,-62.233,270.0,bottom
DIODE<_9,139.5222,-62.23,270.0,bottom
DIODE<_8,101.4222,-62.23,270.0,bottom
DIODE<_7,96.4764,-81.283,270.0,bottom
DIODE<_6,5.9599,-43.09695,270.0,bottom
DIODE<_5,8.4654,-100.079,270.0,bottom
DIODE<_4,67.7744,-81.283,270.0,bottom
DIODE<_3,158.5722,-62.23,270.0,bottom
DIODE<_2,158.623,-43.183,270.0,bottom
DIODE<,103.4868,-100.1044,270.0,bottom
REFMX_17,66.9616,-92.2274,180.0,bottom
REFMX_16,109.8368,-92.2274,180.0,bottom
REFMX_15,107.4492,-54.102,180.0,bottom
REFMX_14,126.5337,-54.102,180.0,bottom
REFMX_13,69.2984,-54.102,180.0,bottom
REFMX_12,12.1484,-35.0012,180.0,bottom
REFMX_11,14.6721,-92.202,180.0,bottom
REFMX_10,164.6682,-54.102,180.0,bottom
REFMX_9,31.1984,-54.102,180.0,bottom
REFMX_8,145.6,-35.052,180.0,bottom
REFMX_7,74.1244,-73.152,180.0,bottom
REFMX_6,102.6994,-73.152,180.0,bottom
REFMX_5,164.6845,-35.052,180.0,bottom
REFMX_4,12.1484,-54.102,180.0,bottom
REFMX_3,145.5837,-54.102,180.0,bottom
REFMX_2,50.2829,-54.102,180.0,bottom
REFMX,31.1639,-35.0012,180.0,bottom
